('2MASS/2MASS.Ks', 'Error', 'Jy', '21590.0', '2618.8695332218', '0.11246109653537453')
('DENIS/DENIS.I', 'Error', 'Jy', '7862.1015966', '1132.54838441', '0.5692942959975683')
('DENIS/DENIS.J', 'Error', 'Jy', '12210.6027581', '2040.72095279', '0.26702985162345594')
('DENIS/DENIS.Ks', 'Error', 'Jy', '21465.009653', '3001.53230706', '0.1133653715468691')
('Paranal/VISTA.Z', 'Error', 'Jy', '8789.5305380902', '889.46049084895', '0.4710003399245576')
('Paranal/VISTA.Y', 'Error', 'Jy', '10196.434730255', '870.63294837703', '0.3639384312049396')
('Paranal/VISTA.J', 'Error', 'Jy', '12480.995875768', '1542.5258498568', '0.25743505309317966')
('Paranal/VISTA.H', 'Error', 'Jy', '16348.188840504', '2674.0154629721', '0.16788452727778008')
('Paranal/VISTA.Ks', 'Error', 'Jy', '21435.460615367', '2793.8527722727', '0.11358121925931425')
('Paranal/VISTA.Y', 'Error', 'Jy', '10196.434730255', '870.63294837703', '0.3639384312049396.1')
('Paranal/VISTA.J', 'Error', 'Jy', '12480.995875768', '1542.5258498568', '0.25743505309317966.1')
('Paranal/VISTA.H', 'Error', 'Jy', '16348.188840504', '2674.0154629721', '0.16788452727778008.1')
('Paranal/VISTA.Ks', 'Error', 'Jy', '21435.460615367', '2793.8527722727', '0.11358121925931425.1')
('WISE/WISE.W1', 'Error', 'Jy', '33526.0', '6626.4186524258', '0.06394113950685076')
('WISE/WISE.W2', 'Error', 'Jy', '46028.0', '10422.660627836', '0.06394113950685076')
('WISE/WISE.W3', 'Error', 'Jy', '115608.0', '55055.705185818', '0.06394113950685076')
('WISE/WISE.W4', 'Error', 'Jy', '220883.0', '41016.829183507', '0.06394113950685076')
('WISE/WISE.W1', 'Error', 'Jy', '33526.0', '6626.4186524258', '0.06394113950685076.1')
('WISE/WISE.W2', 'Error', 'Jy', '46028.0', '10422.660627836', '0.06394113950685076.1')
('WISE/WISE.W1', 'Error', 'Jy', '33526.0', '6626.4186524258', '0.06394113950685076.2')
('WISE/WISE.W2', 'Error', 'Jy', '46028.0', '10422.660627836', '0.06394113950685076.2')
('AKARI/IRC.S9W', 'Error', 'Jy', '82283.5545614', '41027.1126505', '0.06394113950685076')
('AKARI/IRC.L18W', 'Error', 'Jy', '176094.903177', '99690.0709059', '0.06394113950685076')
('AKARI/FIS.N60', 'Error', 'Jy', '629506.72195', '183383.198697', '0.06394113950685076')
('AKARI/FIS.WIDE-S', 'Error', 'Jy', '769035.210222', '330799.82027', '0.06394113950685076')
('AKARI/FIS.WIDE-L', 'Error', 'Jy', '1408561.11446', '433115.724962', '0.06394113950685076')
('AKARI/FIS.N160', 'Error', 'Jy', '1594671.63075', '331394.973689', '0.06394113950685076')
('MSX/MSX.B1', 'Error', 'Jy', '42921.772141732', '1081.6794870895', '0.06394113950685076')
('MSX/MSX.B2', 'Error', 'Jy', '43492.632512344', '1833.2617109514', '0.06394113950685076')
('MSX/MSX.A', 'Error', 'Jy', '79514.6536506', '33661.1774561', '0.06394113950685076')
('IRAS/IRAS.12mu', 'Error', 'Jy', '101464.582668', '60670.4190222', '0.06394113950685076')
('IRAS/IRAS.25mu', 'Error', 'Jy', '217265.488922', '100173.842963', '0.06394113950685076')
('IRAS/IRAS.60mu', 'Error', 'Jy', '519887.310614', '305160.0', '0.06394113950685076')
('IRAS/IRAS.100mu', 'Error', 'Jy', '952971.028738', '332639.843556', '0.06394113950685076')
('COBE/DIRBE.1p25m', 'Error', 'Jy', '12554.307941342', '2937.5610487595', '0.2549413402277416')
('COBE/DIRBE.2p2m', 'Error', 'Jy', '22102.032910165', '3425.7540850379', '0.10889858649205161')
('COBE/DIRBE.3p5m', 'Error', 'Jy', '34914.169216259', '8242.0591528083', '0.06394113950685076')
('COBE/DIRBE.4p9m', 'Error', 'Jy', '48668.693780633', '6632.3299446285', '0.06394113950685076')
('COBE/DIRBE.12m', 'Error', 'Jy', '113395.11060055', '52660.656172719', '0.06394113950685076')
('COBE/DIRBE.25m', 'Error', 'Jy', '200152.52283159', '65659.701277327', '0.06394113950685076')
('COBE/DIRBE.60m', 'Error', 'Jy', '529628.06382814', '238908.85186561', '0.06394113950685076')
('COBE/DIRBE.100m', 'Error', 'Jy', '941198.75247331', '291160.42076984', '0.06394113950685076')
('COBE/DIRBE.140m', 'Error', 'Jy', '1419998.3341933', '414260.47064915', '0.06394113950685076')
('COBE/DIRBE.240m', 'Error', 'Jy', '2353098.3568597', '977552.69589026', '0.06394113950685076')
('JCMT/SCUBA2.450GHz', 'Error', 'Jy', '4482776.6256749', '337928.16511745', '0.06394113950685076')
('JCMT/SCUBA2.850GHz', 'Error', 'Jy', '8579140.0588237', '905255.95381984', '0.06394113950685076')
('Herschel/PACS.blue', 'Error', 'Jy', '689247.38661412', '214148.87500301', '0.06394113950685076')
('Herschel/PACS.green', 'Error', 'Jy', '979036.08312218', '312859.9705268', '0.06394113950685076')
('Herschel/PACS.red', 'Error', 'Jy', '1539451.2965065', '697595.33521814', '0.06394113950685076')
('HST/WFPC2-WF.F170W', 'Error', 'Jy', '1831.4791657082', '585.57987585351', '2.50349314952006')
